bin,count
0.0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,1
0.5,1
0.55,5
0.6,17
0.65,39
0.7,109
0.75,180
0.8,300
0.85,475
0.9,543
0.95,585
1.0,662
1.05,776
1.1,793
1.15,852
1.2,890
1.25,924
1.3,1008
1.35,985
1.4,958
1.45,927
1.5,927
1.55,862
1.6,925
1.65,1026
1.7,1135
1.75,1457
1.8,3766
1.85,10144
1.9,12522
1.95,6294
2.0,1553
2.05,953
2.1,4495
2.15,19695
2.2,37436
2.25,52822
2.3,67709
2.35,71748
2.4,54086
2.45,21091
2.5,35950
2.55,82336
2.6,86272
2.65,74062
2.7,64513
2.75,62614
2.8,19874
2.85,23649
2.9,18656
2.95,31959
3.0,49009
3.05,68014
3.1,75172
3.15,67451
3.2,23502
3.25,1766
3.3,925
3.35,1461
3.4,1460
3.45,729
3.5,332
3.55,273
3.6,81
3.65,62
3.7,48
3.75,39
3.8,76
3.85,93
3.9,1580
3.95,3722
4.0,395
4.05,23
4.1,28
4.15,20
4.2,15
4.25,26
4.3,22
4.35,25
4.4,18
4.45,18
4.5,18
4.55,17
4.6,8
4.65,10
4.7,13
4.75,13
4.8,19
4.85,18
4.9,34
4.95,36
5.0,49
5.05,284
5.1,1696
5.15,3525
5.2,3695
5.25,2049
5.3,477
5.35,68
5.4,15
5.45,11
5.5,9
5.55,9
5.6,14
5.65,8
5.7,13
5.75,11
5.8,8
5.85,6
5.9,6
5.95,4
