bin,count
0.0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,1
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,1
0.54,0
0.55,2
0.56,0
0.57,1
0.58,1
0.59,1
0.6,1
0.61,4
0.62,1
0.63,6
0.64,5
0.65,1
0.66,7
0.67,10
0.68,11
0.69,10
0.7,9
0.71,18
0.72,26
0.73,25
0.74,31
0.75,37
0.76,31
0.77,34
0.78,40
0.79,38
0.8,41
0.81,62
0.82,69
0.83,59
0.84,69
0.85,88
0.86,78
0.87,99
0.88,104
0.89,106
0.9,88
0.91,100
0.92,115
0.93,126
0.94,114
0.95,135
0.96,121
0.97,103
0.98,146
0.99,80
1.0,77
1.01,132
1.02,154
1.03,147
1.04,152
1.05,154
1.06,160
1.07,153
1.08,151
1.09,158
1.1,161
1.11,128
1.12,169
1.13,177
1.14,158
1.15,170
1.16,148
1.17,158
1.18,192
1.19,184
1.2,186
1.21,160
1.22,175
1.23,172
1.24,197
1.25,167
1.26,184
1.27,188
1.28,198
1.29,187
1.3,196
1.31,178
1.32,211
1.33,208
1.34,215
1.35,179
1.36,195
1.37,208
1.38,205
1.39,198
1.4,157
1.41,216
1.42,203
1.43,196
1.44,186
1.45,178
1.46,194
1.47,183
1.48,204
1.49,168
1.5,185
1.51,193
1.52,193
1.53,181
1.54,175
1.55,200
1.56,195
1.57,187
1.58,133
1.59,147
1.6,157
1.61,180
1.62,194
1.63,194
1.64,200
1.65,194
1.66,222
1.67,197
1.68,196
1.69,217
1.7,210
1.71,215
1.72,237
1.73,205
1.74,268
1.75,240
1.76,235
1.77,279
1.78,328
1.79,375
1.8,446
1.81,604
1.82,724
1.83,897
1.84,1095
1.85,1412
1.86,1697
1.87,2064
1.88,2309
1.89,2662
1.9,2680
1.91,2791
1.92,2673
1.93,2409
1.94,1969
1.95,1847
1.96,1572
1.97,1244
1.98,952
1.99,679
2.0,481
2.01,332
2.02,291
2.03,239
2.04,210
2.05,171
2.06,192
2.07,141
2.08,175
2.09,274
2.1,349
2.11,522
2.12,806
2.13,1152
2.14,1666
2.15,2399
2.16,3178
2.17,3897
2.18,4680
2.19,5541
2.2,6202
2.21,6990
2.22,7479
2.23,8182
2.24,8583
2.25,8840
2.26,9923
2.27,10686
2.28,11400
2.29,11973
2.3,12504
2.31,13251
2.32,13562
2.33,13924
2.34,14468
2.35,14465
2.36,14609
2.37,14473
2.38,14587
2.39,13614
2.4,12304
2.41,12741
2.42,10814
2.43,9651
2.44,8576
2.45,7352
2.46,5850
2.47,4526
2.48,2703
2.49,660
2.5,484
2.51,3540
2.52,7764
2.53,10911
2.54,13251
2.55,14548
2.56,16172
2.57,17516
2.58,17020
2.59,17080
2.6,17179
2.61,17226
2.62,17252
2.63,16869
2.64,17746
2.65,15047
2.66,15073
2.67,15013
2.68,14800
2.69,14129
2.7,11525
2.71,12823
2.72,13102
2.73,13416
2.74,13647
2.75,13571
2.76,13909
2.77,13178
2.78,11795
2.79,10161
2.8,8387
2.81,4317
2.82,621
2.83,2830
2.84,3719
2.85,4769
2.86,6466
2.87,4701
2.88,3916
2.89,3797
2.9,3965
2.91,3979
2.92,3830
2.93,3564
2.94,3318
2.95,2014
2.96,5587
2.97,7381
2.98,8277
2.99,8700
3.0,9167
3.01,9288
3.02,8670
3.03,10050
3.04,11834
3.05,12654
3.06,13363
3.07,13014
3.08,14089
3.09,14894
3.1,14590
3.11,15075
3.12,15335
3.13,15164
3.14,15008
3.15,15256
3.16,16382
3.17,14647
3.18,11472
3.19,9694
3.2,7855
3.21,6034
3.22,4460
3.23,3143
3.24,2010
3.25,972
3.26,357
3.27,160
3.28,136
3.29,141
3.3,130
3.31,173
3.32,165
3.33,210
3.34,247
3.35,263
3.36,294
3.37,291
3.38,302
3.39,311
3.4,286
3.41,300
3.42,338
3.43,308
3.44,228
3.45,212
3.46,162
3.47,111
3.48,107
3.49,137
3.5,96
3.51,39
3.52,61
3.53,45
3.54,91
3.55,125
3.56,92
3.57,30
3.58,14
3.59,12
3.6,17
3.61,22
3.62,15
3.63,11
3.64,16
3.65,21
3.66,7
3.67,13
3.68,10
3.69,11
3.7,12
3.71,13
3.72,7
3.73,9
3.74,7
3.75,6
3.76,8
3.77,15
3.78,5
3.79,5
3.8,13
3.81,15
3.82,15
3.83,12
3.84,21
3.85,20
3.86,14
3.87,19
3.88,22
3.89,18
3.9,43
3.91,137
3.92,257
3.93,434
3.94,709
3.95,862
3.96,850
3.97,887
3.98,713
3.99,410
4.0,206
4.01,127
4.02,43
4.03,12
4.04,7
4.05,5
4.06,3
4.07,5
4.08,2
4.09,8
4.1,9
4.11,7
4.12,5
4.13,3
4.14,4
4.15,5
4.16,5
4.17,2
4.18,2
4.19,6
4.2,3
4.21,3
4.22,1
4.23,3
4.24,5
4.25,1
4.26,10
4.27,7
4.28,6
4.29,2
4.3,5
4.31,7
4.32,2
4.33,5
4.34,3
4.35,4
4.36,5
4.37,10
4.38,3
4.39,3
4.4,2
4.41,4
4.42,4
4.43,6
4.44,2
4.45,7
4.46,1
4.47,4
4.48,5
4.49,1
4.5,3
4.51,3
4.52,3
4.53,3
4.54,6
4.55,2
4.56,3
4.57,3
4.58,6
4.59,3
4.6,2
4.61,2
4.62,3
4.63,1
4.64,0
4.65,2
4.66,1
4.67,2
4.68,2
4.69,3
4.7,4
4.71,2
4.72,1
4.73,4
4.74,2
4.75,2
4.76,3
4.77,5
4.78,1
4.79,2
4.8,6
4.81,5
4.82,3
4.83,2
4.84,3
4.85,2
4.86,3
4.87,3
4.88,2
4.89,8
4.9,8
4.91,7
4.92,9
4.93,8
4.94,2
4.95,8
4.96,8
4.97,2
4.98,8
4.99,10
5.0,7
5.01,7
5.02,12
5.03,13
5.04,10
5.05,24
5.06,38
5.07,42
5.08,70
5.09,110
5.1,180
5.11,225
5.12,341
5.13,424
5.14,526
5.15,601
5.16,636
5.17,747
5.18,762
5.19,779
5.2,798
5.21,770
5.22,768
5.23,705
5.24,654
5.25,562
5.26,462
5.27,401
5.28,363
5.29,261
5.3,168
5.31,140
5.32,84
5.33,54
5.34,31
5.35,24
5.36,16
5.37,14
5.38,9
5.39,5
5.4,2
5.41,3
5.42,4
5.43,2
5.44,4
5.45,3
5.46,3
5.47,1
5.48,3
5.49,1
5.5,1
5.51,3
5.52,0
5.53,3
5.54,2
5.55,1
5.56,4
5.57,1
5.58,1
5.59,2
5.6,2
5.61,2
5.62,4
5.63,2
5.64,4
5.65,1
5.66,1
5.67,1
5.68,4
5.69,1
5.7,3
5.71,1
5.72,4
5.73,4
5.74,1
5.75,3
5.76,2
5.77,4
5.78,1
5.79,1
5.8,1
5.81,3
5.82,2
5.83,1
5.84,1
5.85,1
5.86,1
5.87,1
5.88,0
5.89,3
5.9,3
5.91,1
5.92,1
5.93,1
5.94,0
5.95,0
5.96,1
5.97,1
5.98,2
5.99,0
