x,y,count,ids
-1.0000000000000002e-06,0.0,0.0,[]
-1.0000000000000002e-06,13.88888888888889,0.0,[]
-1.0000000000000002e-06,27.77777777777778,0.0,[]
-1.0000000000000002e-06,41.66666666666667,0.0,[]
-1.0000000000000002e-06,55.55555555555556,0.0,[]
-1.0000000000000002e-06,69.44444444444444,0.0,[]
-1.0000000000000002e-06,83.33333333333334,0.0,[]
-1.0000000000000002e-06,97.22222222222223,0.0,[]
-1.0000000000000002e-06,111.11111111111111,0.0,[]
-1.0000000000000002e-06,125.0,0.0,[]
-1.0000000000000002e-06,138.88888888888889,0.0,[]
-1.0000000000000002e-06,152.77777777777777,0.0,[]
-1.0000000000000002e-06,166.66666666666669,0.0,[]
-1.0000000000000002e-06,180.55555555555557,0.0,[]
-1.0000000000000002e-06,194.44444444444446,0.0,[]
-1.0000000000000002e-06,208.33333333333334,0.0,[]
-1.0000000000000002e-06,222.22222222222223,0.0,[]
-1.0000000000000002e-06,236.11111111111111,0.0,[]
-1.0000000000000002e-06,250.0,0.0,[]
-1.0000000000000002e-06,263.8888888888889,0.0,[]
-1.0000000000000002e-06,277.77777777777777,0.0,[]
-1.0000000000000002e-06,291.6666666666667,0.0,[]
-1.0000000000000002e-06,305.55555555555554,0.0,[]
-1.0000000000000002e-06,319.44444444444446,0.0,[]
-1.0000000000000002e-06,333.33333333333337,0.0,[]
-1.0000000000000002e-06,347.22222222222223,0.0,[]
-1.0000000000000002e-06,361.11111111111114,0.0,[]
-1.0000000000000002e-06,375.0,0.0,[]
-1.0000000000000002e-06,388.8888888888889,0.0,[]
-1.0000000000000002e-06,402.77777777777777,0.0,[]
-1.0000000000000002e-06,416.6666666666667,0.0,[]
-1.0000000000000002e-06,430.55555555555554,0.0,[]
-1.0000000000000002e-06,444.44444444444446,0.0,[]
-1.0000000000000002e-06,458.33333333333337,0.0,[]
-1.0000000000000002e-06,472.22222222222223,0.0,[]
-1.0000000000000002e-06,486.11111111111114,0.0,[]
-1.0000000000000002e-06,500.0,0.0,[]
-1.0000000000000002e-06,513.8888888888889,0.0,[]
-1.0000000000000002e-06,527.7777777777778,0.0,[]
-1.0000000000000002e-06,541.6666666666666,0.0,[]
-1.0000000000000002e-06,555.5555555555555,0.0,[]
-1.0000000000000002e-06,569.4444444444445,0.0,[]
-1.0000000000000002e-06,583.3333333333334,0.0,[]
-1.0000000000000002e-06,597.2222222222223,0.0,[]
-1.0000000000000002e-06,611.1111111111111,0.0,[]
-1.0000000000000002e-06,625.0,0.0,[]
-1.0000000000000002e-06,638.8888888888889,0.0,[]
-1.0000000000000002e-06,652.7777777777778,0.0,[]
-1.0000000000000002e-06,666.6666666666667,0.0,[]
-1.0000000000000002e-06,680.5555555555555,0.0,[]
-1.0000000000000002e-06,694.4444444444445,0.0,[]
-1.0000000000000002e-06,708.3333333333334,0.0,[]
-1.0000000000000002e-06,722.2222222222223,0.0,[]
-1.0000000000000002e-06,736.1111111111111,0.0,[]
-1.0000000000000002e-06,750.0,0.0,[]
-1.0000000000000002e-06,763.8888888888889,0.0,[]
-1.0000000000000002e-06,777.7777777777778,0.0,[]
-1.0000000000000002e-06,791.6666666666667,0.0,[]
-1.0000000000000002e-06,805.5555555555555,0.0,[]
-1.0000000000000002e-06,819.4444444444445,0.0,[]
-1.0000000000000002e-06,833.3333333333334,0.0,[]
-1.0000000000000002e-06,847.2222222222223,0.0,[]
-1.0000000000000002e-06,861.1111111111111,0.0,[]
-1.0000000000000002e-06,875.0,0.0,[]
